epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,517.875,0.45926,0.24147,0.78214,0.99878,0.9711,0.99246,0.8847,0.52466,0.24702,0.78737,0.0002873,0.0002873,0.0002873
175,520.508,0.45772,0.23696,0.78536,0.99919,0.9711,0.98932,0.87998,0.53027,0.24585,0.78855,0.0002774,0.0002774,0.0002774
176,522.967,0.45984,0.24297,0.7845,0.99863,0.9711,0.98919,0.88155,0.53427,0.24819,0.78793,0.0002675,0.0002675,0.0002675
177,525.693,0.45787,0.23837,0.78496,1,0.96499,0.98552,0.87862,0.52351,0.2459,0.78614,0.0002576,0.0002576,0.0002576
178,528.905,0.46772,0.2481,0.78305,1,0.96934,0.99137,0.87986,0.53298,0.24486,0.78746,0.0002477,0.0002477,0.0002477
179,532.173,0.45368,0.23623,0.78092,0.9978,0.9711,0.99204,0.88613,0.5185,0.24117,0.78715,0.0002378,0.0002378,0.0002378
180,535.424,0.46244,0.23818,0.78549,0.99846,0.9711,0.9895,0.88264,0.52157,0.2463,0.78693,0.0002279,0.0002279,0.0002279
181,538.526,0.45687,0.23735,0.78907,1,0.96503,0.98947,0.88546,0.51498,0.24085,0.78609,0.000218,0.000218,0.000218
182,541.659,0.43909,0.23232,0.78412,1,0.96505,0.98663,0.8829,0.51221,0.24221,0.78575,0.0002081,0.0002081,0.0002081
183,545.154,0.44567,0.235,0.78408,1,0.96505,0.98955,0.88431,0.5226,0.24111,0.78674,0.0001982,0.0001982,0.0001982
